glottocode,url,total_resources,dictionary,grammar_sketch,grammar,phonology,text,wordlist,comparative,minimal,dialectology,ethnographic,overview,bibliographical,specific_feature,socling,new_testament,unknown,status
jiba1237,https://glottolog.org/langdoc?language=jiba1237,10,0,1,0,0,1,7,3,0,0,2,4,0,0,0,0,0,ok
mari1419,https://glottolog.org/langdoc?language=mari1419,21,0,1,0,0,1,2,10,0,0,0,3,0,2,0,0,0,ok
badj1244,https://glottolog.org/langdoc?language=badj1244,7,0,1,0,0,0,2,4,0,0,0,4,0,0,0,0,0,ok
wamb1258,https://glottolog.org/langdoc?language=wamb1258,50,1,5,5,1,1,3,14,1,0,1,7,1,4,0,0,0,ok
kula1280,https://glottolog.org/langdoc?language=kula1280,7,0,2,0,0,0,2,2,0,0,0,1,0,2,0,0,0,ok
onin1245,https://glottolog.org/langdoc?language=onin1245,22,0,0,0,1,1,10,4,2,0,10,12,0,1,0,0,0,ok
toho1245,https://glottolog.org/langdoc?language=toho1245,64,5,7,7,1,2,1,6,0,0,13,2,0,8,1,0,0,ok
chit1248,https://glottolog.org/langdoc?language=chit1248,28,1,3,0,2,0,2,9,0,0,3,8,1,3,1,0,0,ok
bask1236,https://glottolog.org/langdoc?language=bask1236,22,0,3,2,3,0,1,2,0,0,3,0,0,4,3,0,0,ok
omii1238,https://glottolog.org/langdoc?language=omii1238,8,0,1,0,0,1,3,1,1,0,0,3,1,0,1,0,0,ok
cham1309,https://glottolog.org/langdoc?language=cham1309,17,2,2,1,0,1,0,3,0,0,0,2,0,0,2,0,0,ok
kari1316,https://glottolog.org/langdoc?language=kari1316,11,0,0,0,0,0,3,5,0,0,2,5,1,0,1,0,0,ok
bodo1272,https://glottolog.org/langdoc?language=bodo1272,5,0,0,0,0,0,0,1,0,0,0,4,0,1,2,0,0,ok
mong1330,https://glottolog.org/langdoc?language=mong1330,28,5,2,2,0,1,1,5,0,0,0,2,0,1,0,0,0,ok
nyam1277,https://glottolog.org/langdoc?language=nyam1277,58,1,8,0,6,1,4,9,0,1,3,7,1,3,0,0,0,ok
tzel1255,https://glottolog.org/langdoc?language=tzel1255,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ok
wayo1238,https://glottolog.org/langdoc?language=wayo1238,13,0,0,0,1,1,1,4,0,0,2,5,0,3,2,0,0,ok
gora1261,https://glottolog.org/langdoc?language=gora1261,7,0,0,0,0,1,1,3,1,0,0,2,0,0,0,0,0,ok
mari1416,https://glottolog.org/langdoc?language=mari1416,18,1,3,2,1,0,6,7,1,0,1,8,0,0,1,0,0,ok
mapu1244,https://glottolog.org/langdoc?language=mapu1244,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ok
urni1239,https://glottolog.org/langdoc?language=urni1239,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok
bude1236,https://glottolog.org/langdoc?language=bude1236,6,2,0,0,1,0,1,1,0,0,1,2,0,1,1,0,0,ok
komo1260,https://glottolog.org/langdoc?language=komo1260,38,1,2,0,2,0,7,4,0,0,4,6,0,2,0,0,0,ok
tain1254,https://glottolog.org/langdoc?language=tain1254,20,0,0,0,0,0,4,3,7,0,8,2,0,0,1,0,0,ok
khia1236,https://glottolog.org/langdoc?language=khia1236,9,0,0,0,0,0,1,3,1,0,1,4,0,0,0,0,0,ok
